! -- --||Comment tags are used to insert comments in the HTML source code||Relationship: supported in HTML5||Example : &lt;!-- This is a comment! --&gt;||back to top
!DOCTYPE||An instruction to the web browser about what version of HTML the page is written in.||Relationship: supported in HTML5. The only declaration in HTML5||Example: &lt;!DOCTYPE html&gt;||back to top
a||Defines a hyperlink.||Relationship: supported in HTML5||Example:<br>code: &lt;a href =“brand.html”&gt; hyperlink title &lt;/a&gt; <br> output: <a href = "brand.html">Sabby’s Skate Shop </a>||back to top
abbr||Defines an abbreviated form of a longer word or phrase.||Relationship: supported in HTML5||Example: <br>code: The &lt;abbr title = "Sabby's Skate Shop"&gt; SSS &lt;/abbr&gt; was founded in Charlotte,NC. <br>output:<abbr title = "Sabby's Skate Shop"> SSS </abbr>was founded in Charlotte,NC.||back to top
acronym||Defines an acronym.||Relationship: NOT supported in HTML5||Example:<br>code: Let's &lt;acronym title="SKATE"&gt; SKATE! &lt;/acronym&gt; <br> output: Let's <acronym title="SKATE">SKATE! </acronym>||back to top
address||Specifies the author's contact information.||Relationship: supported in HTML5||Example:<br> code: &lt;address&gt; Visit us at:&lt;br&gt;brand.html&lt;br&gt;1600 Plaza Midwood&lt;br&gt; NC, USA &lt;/address&gt; <br> output:<address>Visit us at:<br>Brand.html<br>1600 Plaza Midwood<br>NC, USA </address>||back to top
applet||Embeds a Java applet (mini Java applications) on the page.||Relationship: NOT supported in HTML5. Use the &lt;object&gt; element instead.||Example:<br>code: &lt;applet code = "Bubbles.class"&gt; Java applet that draws animated bubbles &lt;applet&gt;||back to top
area||Defines a specific area within an image map.||Relationship: supported in HTML5||Example:||back to top
article||Defines an article.||Relationship: supported in HTML5||Example:<br>code: &lt;article&gt; &lt;h1&gt;Sabby's Skate Shop&lt; /h1&gt; &lt;p&gt;skate or die &lt;/p&gt; &lt;/article&gt; <br>output: <article><h1 style ="text-align:left;font-size:20px;">Sabby's Skate Shop</h1><p>skate or die</p></article>||back to top
aside||Defines some content loosely related to the page content.||Relationship: supported in HTML5||Example: <br>code: &lt;h1&gt;Sabby's skate shop&lt;/h1&gt; &lt;h4&gt;New arrivals&lt;/h4&gt; &lt;aside&gt;Skate updates: &lt;/aside&gt; <br>output: <h1 style = "text-align:left; font-size:20px;">Sabby's skate shop</h1><h4>New arrivals</h4><aside>Skate updates:</aside>||back to top
audio||Embeds a sound, or an audio stream in an HTML document.||Relationship: supported in HTML5||Example: Proper ollie on a skatebaord <br>code:<br> &lt;audio controls&gt; <br> &lt;source src = "includes/ollie.mp3" typ = "audio/mpeg"&gt; <br>&lt;/audio&gt;<br>output: <br><audio controls><source src="includes/ollie.mp3" type="audio/mpeg"> </audio>||back to top
b||Displays text in a bold style.||Relationship: supported in HTML5||Example: <br>code: &lt;b&gt; this is the code to display bold text &lt;/b&gt; <br> output: <b>this is the code to display bold text</b> ||back to top
